,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
19,"Hakim Ziyech on if he will leave #Chelsea in January: “It’s hard to say, difficult to say. We don’t know what will happen in the winter. It’s football, so it’s difficult to say.”",hakim ziyech on if he will leave chelsea in january it hard to say difficult to say we don know what will happen in the winter it football so it difficult to say ,-0.4305555555555556,0.8472222222222222,negative,0.208,0.792,0.0,-0.6808,162,33
20,🔵🔵⚽️  🌍🌏 INTERNATIONAL FANS DROP YOUR FLAGS BELOW ⬇️ and lets connect 🤝 #Chelseafollowtrain 🚂    #Chelsea #Cfc, international fans drop your flags below and lets connect chelseafollowtrain chelsea cfc,0.0,0.0,negative,0.16,0.84,0.0,-0.2732,89,12
21,"Manchester City will not pay Sporting Li...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #ep...
https://t.co/jgolCLcD7z",manchester city will not pay sporting li premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ep ,0.0,0.0,positive,0.0,0.942,0.058,0.0762,199,22
22,"UFC figh...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable...
https://t.co/AYN8Rw1DsI",ufc figh premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,186,20
23,"Miniforce Coloring Book: Books For Adults, Teens, Women And Men Color To Relax, Stress UGD6ROP

https://t.co/RuWVtTjjd5

#wenger #app #nevada #chelsea #tea #argument #nyc #website #american #coin #sleeve #c4news #stress #fund #bags #blahblah https://t.co/5YSq8WTeh5",miniforce coloring book books for adults teens women and men color to relax stress ugd6rop wenger app nevada chelsea tea argument nyc website american coin sleeve c4news stress fund bags blahblah ,0.0,0.0,negative,0.213,0.711,0.076,-0.6369,196,31
24,"A little corner of Mexico!
#oceanwideproperties  #mexico #realestate  #chelsea #lovelondon #newlistings #movetolondon #property https://t.co/xRU04zOiGh",a little corner of mexico oceanwideproperties mexico realestate chelsea lovelondon newlistings movetolondon property ,-0.1875,0.5,neutral,0.0,1.0,0.0,0.0,117,13
25,"🚨If you missed it make sure you check out my Chelsea news round up 👇

https://t.co/DrTCvoSwR4

Every click on the link really helps so smash the likes + subscribe 👊🏻💙

#CFC #Chelsea #PremierLeague #FIFAWorldCup #WorldCup2022 https://t.co/2TUttQrIOW", if you missed it make sure you check out my chelsea news round up every click on the link really helps so smash the likes subscribe cfc chelsea premierleague fifaworldcup worldcup2022 ,0.16666666666666666,0.49629629629629624,positive,0.059,0.721,0.22,0.7233,185,31
26,#Chelsea reportedly set ‘to open preliminary talks’ to sign Leandro Trossard from Brighton., chelsea reportedly set to open preliminary talks to sign leandro trossard from brighton ,0.0,0.5,neutral,0.0,1.0,0.0,0.0,89,13
27,"Still gives those chills!
Love @hazardeden10 
@ChelseaFC #Chelsea https://t.co/WyGOrZHHG8",still gives those chills love chelsea ,0.5,0.6,positive,0.0,0.543,0.457,0.6369,38,6
28,"🔵🔵⚽️  There's Millions of active #Chelsea Fans all over the world  on Twitter!! Simply Like, Retweet &amp; Comment so we can all find eachother  https://t.co/vAJbRXLlsN 🤝🔵  #Chelseafollowtrain  #Cfc", there millions of active chelsea fans all over the world on twitter simply like retweet amp comment so we can all find eachother chelseafollowtrain cfc,-0.06666666666666667,0.47857142857142854,positive,0.0,0.816,0.184,0.6369,152,25
29,"🚨 Not only Ziyech, but Christian Pulisic could leave #Chelsea in January too.

#CFC 🔵", not only ziyech but christian pulisic could leave chelsea in january too cfc ,0.0,0.5,negative,0.098,0.902,0.0,-0.0772,78,13
30,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @AngelaS63860033 #poshmark #fashion #style #shopmycloset #lularoe #chelsea: https://t.co/BZ12K0M7Ka https://t.co/mj9SpUB3Da,so good had to share check out all the items m loving on from poshmark fashion style shopmycloset lularoe chelsea ,0.6499999999999999,0.775,positive,0.0,0.633,0.367,0.8516,114,20
31,"Happy birthday
Blues forever
#chelsea https://t.co/jArHwWK6vg",happy birthday blues forever chelsea ,0.8,1.0,positive,0.0,0.519,0.481,0.5719,37,5
32,"BT Sport pundit Michael Owen says he is ...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #...
https://t.co/UWnCKCS1pY",bt sport pundit michael owen says he is premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,195,22
33,"Liverpool defender Andy Roberts...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #...
https://t.co/K2GubqEedp",liverpool defender andy roberts premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores ,0.0,0.0,positive,0.0,0.931,0.069,0.1027,190,20
34,"Chelsea edged past Real Madrid, 2x0, on Wednesday. The blues scored by Sophie Ingle and Erin Cuthbert.
#SophieIngle #ErinCuthbert #Chelsea #RealMadrid  https://t.co/5IvemrHM0k",chelsea edged past real madrid 2x0 on wednesday the blues scored by sophie ingle and erin cuthbert sophieingle erincuthbert chelsea realmadrid ,-0.024999999999999994,0.275,neutral,0.0,1.0,0.0,0.0,143,21
35,"Oh Jimmy, Jimmy .. Truth! #Chelsea https://t.co/QwAI0R2R00",oh jimmy jimmy truth chelsea ,0.0,0.0,positive,0.0,0.635,0.365,0.3182,29,5
36,"Manchester City’s Kyle Walker i...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #A...
https://t.co/d0httQtjmc",manchester city kyle walker mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,187,19
37,@juventusfc and France 🇫🇷 midfielder #AdrianRabiot is attracting interest from @premierleague clubs. Rabiot failed to complete a move to @ManUtd in the summer. #Arsenal #Chelsea and #Spurs in the race., and france midfielder adrianrabiot is attracting interest from clubs rabiot failed to complete move to in the summer arsenal chelsea and spurs in the race ,-0.2,0.35,positive,0.105,0.701,0.194,0.4215,156,25
38,"🚨#Chelsea are ready to open preliminary talks with Leandro Trossard ahead of a concerted new year swoop.
#CFC

Via @footyinsider247", chelsea are ready to open preliminary talks with leandro trossard ahead of concerted new year swoop cfc via ,0.11212121212121212,0.48484848484848486,positive,0.0,0.872,0.128,0.3612,109,18
39,"🙌😁  There's Millions of active #Chelsea Fans all over the world  on Twitter!! Simply Like, Retweet &amp; Comment so we can all find eachother  https://t.co/Ugx4P4LpsD 🤝🔵   #Chelseafollowtrain  #Cfc", there millions of active chelsea fans all over the world on twitter simply like retweet amp comment so we can all find eachother chelseafollowtrain cfc,-0.06666666666666667,0.47857142857142854,positive,0.0,0.816,0.184,0.6369,152,25
40,How much talent in this picture. #CFC #Chelsea #KTBFFH https://t.co/ISZ1hycABS,how much talent in this picture cfc chelsea ktbffh ,0.2,0.2,positive,0.0,0.741,0.259,0.4215,51,9
41,"Sky Sports pundit Paul Merson believes M...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #e...
https://t.co/67rk9U9UW6",sky sports pundit paul merson believes premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,194,20
42,"It is not enough to have lived. We should be determined to live for something.

#Chelsea #Go Ghana #Ati Zigi",it is not enough to have lived we should be determined to live for something chelsea go ghana ati zigi,0.06818181818181818,0.5,positive,0.0,0.888,0.112,0.34,102,20
43,"Tuesday...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #...
https://t.co/chvgt8siMS",tuesday premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,185,19
44,"Good Player Or Poor Goalkeeping?
#Chelsea https://t.co/ib9etvHKMW",good player or poor goalkeeping chelsea ,0.14999999999999997,0.6000000000000001,negative,0.31,0.4,0.29,-0.0516,40,6
45,"(3 Pack) Pure Kana Gummies, Purekana Gummies for Men &amp; Women, 3 Bottle Package, 90 Day Supply PY8ENGK

https://t.co/G7Dk8UM5DH

#chase #worldcup #boston #grid #chicklit #wrightwood #dark #2pm #ufc #highprotein #americanhorror #chelsea #shacket #chelseahandle https://t.co/xtLX8avFIc", 3 pack pure kana gummies purekana gummies for men amp women 3 bottle package 90 day supply py8engk chase worldcup boston grid chicklit wrightwood dark 2pm ufc highprotein americanhorror chelsea shacket chelseahandle ,0.03214285714285714,0.45,neutral,0.0,1.0,0.0,0.0,217,32
46,"Sun rising over Battersea Power Station, from Chelsea Bridge on an early morning walk to work, five years ago, today

#sunrise #morningcommute #batterseapowerstation #chelseabridge #bridgesoflondon #thames #battersea #chelsea #london #londonist #thisislo… https://t.co/qKireIfrQy https://t.co/sB8RKBUNlc",sun rising over battersea power station from chelsea bridge on an early morning walk to work five years ago today sunrise morningcommute batterseapowerstation chelseabridge bridgesoflondon thames battersea chelsea london londonist thisislo ,0.1,0.3,neutral,0.0,1.0,0.0,0.0,240,31
47,"Manchest...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllives...
https://t.co/HuSYN7dUub",manchest mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal eplresults epllives ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,196,19
48,"Sources tell me that Rafael Leão is stuttering on signing a new deal with AC Milan and is having his head turned by #Chelsea's interest, so this one could get optimistic. 
#CFC

~@siphillipssport",sources tell me that rafael le is stuttering on signing new deal with ac milan and is having his head turned by chelsea interest so this one could get optimistic cfc ,0.13636363636363635,0.45454545454545453,positive,0.065,0.787,0.149,0.4588,166,31
49,🔵🔵  💙🚨 #ChelseaFollowTrain 🚂 ❗️FOLLOW EVERYONE THAT COMMENTS  https://t.co/Y0U2XtL7L6  #Chelsea  #Cfc, chelseafollowtrain follow everyone that comments chelsea cfc,0.0,0.0,neutral,0.0,1.0,0.0,0.0,61,7
50,"Losses Pile Up in FTX Bankruptcy Turmoil

#Apple #Chelsea #Credit #English #Fenway #HK #Manchester 

https://t.co/P3l0MBJBDQ https://t.co/N8LTE7LPzg",losses pile up in ftx bankruptcy turmoil apple chelsea credit english fenway hk manchester ,0.0,0.0,negative,0.277,0.585,0.138,-0.3818,91,14
51,"Anthony Taylor will be the referee and C...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #e...
https://t.co/508rrXFiWz",anthony taylor will be the referee and premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,194,21
52,"#Chelsea winger, Hakim #Ziyech refuse to rule out any possibility of leaving di club for di January transfer window.

~NOS

#CIP #hakimziyech https://t.co/doEqvPWQvn", chelsea winger hakim ziyech refuse to rule out any possibility of leaving di club for di january transfer window nos cip hakimziyech ,0.0,0.0,negative,0.095,0.905,0.0,-0.296,134,22
53,"Liverpoo...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #c...
https://t.co/HPpNcXW1rr",liverpoo premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,186,19
54,It's football - Ziyech speaks on leaving Chelsea in January - EPL - https://t.co/xcechWssu8 #Sport  #chelsea #EPL #Ziyech #BBnaija #Messi #Wizkid #Davido,it football ziyech speaks on leaving chelsea in january epl sport chelsea epl ziyech bbnaija messi wizkid davido,0.0,0.0,neutral,0.0,1.0,0.0,0.0,112,18
55,"#Chelsea  and #LiverpoolFC  are set to miss out on January transfer target Konrad Laimer as the #RBLeipzig  and #Austria  midfielder, , wants to join #BayernMunich   when his contract expires in the summer. (@Bild, via Express)", chelsea and liverpoolfc are set to miss out on january transfer target konrad laimer as the rbleipzig and austria midfielder wants to join bayernmunich when his contract expires in the summer via express ,0.2,0.1,positive,0.046,0.891,0.063,0.1531,205,33
56,"Liverpool “won’t get the best o...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivesco...
https://t.co/gKIqApQxo1",liverpool won get the best premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivesco ,1.0,0.3,positive,0.0,0.706,0.294,0.836,182,21
57,"🚨 Not only Ziyech, but Christian Pulisic could leave #Chelsea in January too.
#CFC 

Via @hrachoff", not only ziyech but christian pulisic could leave chelsea in january too cfc via ,0.0,0.5,negative,0.091,0.909,0.0,-0.0772,82,14
58,"#FIFA #WorldCup #usa #usaclub #Christian #2022football #America #Soccer #famous #Chelsea Christian mate pulisic is an American professional soccer player who plays winger for premier league club Chelsea and Usa national team. Called""captain America""https://t.co/Bq3jobNeP1 https://t.co/OSc9v4bcy1", fifa worldcup usa usaclub christian 2022football america soccer famous chelsea christian mate pulisic is an american professional soccer player who plays winger for premier league club chelsea and usa national team called captain america ,0.12,0.22000000000000003,positive,0.0,0.943,0.057,0.25,239,34
59,"Each week we preview the Premier League...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Ars...
https://t.co/gz0b3k8FxR",each week we preview the premier league mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea ars ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,203,23
60,"Characters in #ThisBloodyCountry - Chelsea Couzen-Weekes. Wealth &amp; privilege does not necessarily breed empathy &amp; compassion. But it does let her cheerlead for every cause célèbre!

Link in bio!

#Brexit #Chelsea #WritingCommunity #BookTwitter #AuthorsOfTwitter #IndieAuthors https://t.co/VXXVelUmVX",characters in thisbloodycountry chelsea couzen weekes wealth amp privilege does not necessarily breed empathy amp compassion but it does let her cheerlead for every cause l bre link in bio brexit chelsea writingcommunity booktwitter authorsoftwitter indieauthors ,0.0,1.0,positive,0.0,0.767,0.233,0.8126,263,36
61,"The Athletic journalist David Ornstein h...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #e...
https://t.co/FCjP6NmyrX",the athletic journalist david ornstein premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,194,19
62,"Given @Cristiano loves #UCL, he will end up at ......

#cristiano #ucl #chelsea #mancity #bayern #inter #napoli #serieA #bundesliga #premierleague #SportingCP",given loves ucl he will end up at cristiano ucl chelsea mancity bayern inter napoli seriea bundesliga premierleague sportingcp,0.0,0.0,positive,0.0,0.829,0.171,0.5719,126,19
63,"Liverpo...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #...
https://t.co/maCCyqFtfZ",liverpo premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,185,19
64,"Theophany: A Biblical Theology of God's Appearing YLX897D

https://t.co/EH1h5Va14Z

#ad #playboy #muscle #health #hiking #trading #earinfection #caturday #badbunny #launch #gopanthers #chelsea #otd #vasco https://t.co/zOJCFdP5F6",theophany biblical theology of god appearing ylx897d ad playboy muscle health hiking trading earinfection caturday badbunny launch gopanthers chelsea otd vasco ,0.0,0.0,positive,0.0,0.905,0.095,0.2732,160,21
65,"Next page »This is our final po...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Ar...
https://t.co/ruGJDzafLc",next page this is our final po mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea ar ,0.0,0.5,negative,0.141,0.859,0.0,-0.5574,193,23
66,"🔵   #Chelsea fan with less than 1000 followers?  Follow me, Retweet this tweet, reply to this tweet, with 💙 and let's all follow you back 🤝🌏📲  https://t.co/4gp0L8qRpX #Chelseafollowtrain  #Cfc", chelsea fan with less than 1000 followers follow me retweet this tweet reply to this tweet with and let all follow you back chelseafollowtrain cfc,-0.08333333333333333,0.03333333333333333,positive,0.0,0.913,0.087,0.3182,147,25
67,"Liverpoo...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #c...
https://t.co/objUiLqNOJ",liverpoo premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,186,19
